,Hour Count,Actual: ,Predicted: 
35056,35056,1911,1895.7173156340104
35057,35057,1963,1895.7173156340104
35058,35058,2033,1898.7967137821586
35059,35059,2132,2075.21983529376
35060,35060,2304,2531.420622315052
35061,35061,2687,2576.2097484220403
35062,35062,2704,2576.2097484220403
35063,35063,2610,2573.816652833805
35064,35064,2504,2560.421708998104
35065,35065,2389,2386.6071268100022
35066,35066,2260,2195.128328140847
35067,35067,2021,2052.333802095399
35068,35068,1920,1832.1226746508023
35069,35069,1848,1799.2053129206804
35070,35070,1812,1853.2836312784827
35071,35071,1820,1782.3116997320308
35072,35072,1873,1821.381042042581
35073,35073,1949,2014.7930921802367
35074,35074,1914,2210.0661512269808
35075,35075,1886,2234.8745469408327
35076,35076,1831,2234.8745469408327
35077,35077,1857,2234.8745469408327
35078,35078,1843,2222.788371670493
35079,35079,1867,2222.788371670493
35080,35080,1932,2222.788371670493
35081,35081,2030,2222.788371670493
35082,35082,2138,2229.707799463692
35083,35083,2313,2325.947491523202
35084,35084,2652,2626.0273070696944
35085,35085,2676,2642.9756842644774
35086,35086,2618,2642.9756842644774
35087,35087,2523,2642.9756842644774
35088,35088,2379,2629.580740428776
35089,35089,2180,2417.503795668906
35090,35090,1992,2210.5430878319594
35091,35091,1873,2062.913385428732
35092,35092,1796,1830.6613228046015
35093,35093,1761,1782.3116997320308
35094,35094,1747,1782.3116997320308
35095,35095,1798,1782.3116997320308
35096,35096,1938,1821.381042042581
35097,35097,2145,1942.1754090112222
35098,35098,2192,2197.6469141919556
35099,35099,2190,2267.9955675560186
35100,35100,2133,2222.788371670493
35101,35101,2131,2222.788371670493
35102,35102,2131,2235.3631838322103
35103,35103,2174,2235.3631838322103
35104,35104,2191,2235.3631838322103
35105,35105,2249,2235.636550884365
35106,35106,2419,2242.555978677564
35107,35107,2569,2313.8613162528623
35108,35108,2869,2626.0273070696944
35109,35109,2861,2642.9756842644774
35110,35110,2777,2642.9756842644774
35111,35111,2658,2642.9756842644774
35112,35112,2482,2629.580740428776
35113,35113,2266,2417.503795668906
35114,35114,2041,2210.5430878319594
35115,35115,1930,2062.913385428732
35116,35116,1845,1830.6613228046015
35117,35117,1788,1782.3116997320308
35118,35118,1762,1782.3116997320308
35119,35119,1831,1782.3116997320308
35120,35120,1974,1821.381042042581
35121,35121,2211,1953.7426519360524
35122,35122,2324,2210.0661512269808
35123,35123,2361,2222.788371670493
