Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
1/1/2014,1,10057,9862,2096,58,22073
1/1/2014,2,9707,9530,1986,59,21283
1/1/2014,3,9438,9200,1936,61,20635
1/1/2014,4,9309,9015,1896,64,20283
1/1/2014,5,9319,8987,1899,67,20271
1/1/2014,6,9389,9038,1922,71,20421
1/1/2014,7,9669,9128,2011,77,20886
1/1/2014,8,9802,8880,2055,79,20815
1/1/2014,9,9923,9033,2141,70,21167
1/1/2014,10,10026,9195,2250,61,21532
1/1/2014,11,10059,9339,2304,54,21756
1/1/2014,12,10237,9361,2301,48,21947
1/1/2014,13,10225,9379,2294,44,21941
1/1/2014,14,10229,9371,2262,41,21902
1/1/2014,15,10519,9409,2199,39,22166
1/1/2014,16,10446,9539,2210,40,22234
1/1/2014,17,10495,10035,2326,45,22902
1/1/2014,18,11985,11532,2724,53,26294
1/1/2014,19,12309,11765,2773,55,26902
1/1/2014,20,12109,11665,2716,56,26545
1/1/2014,21,11837,11426,2627,56,25945
1/1/2014,22,11351,11080,2471,55,24957
1/1/2014,23,10562,10345,2255,54,23215
1/1/2014,24,9773,9596,2041,53,21463
1/2/2014,1,9467,9167,1904,53,20592
1/2/2014,2,9523,8840,1855,55,20273
1/2/2014,3,9476,8676,1815,57,20024
1/2/2014,4,9242,8684,1809,60,19795
1/2/2014,5,9316,8951,1832,64,20163
1/2/2014,6,9759,9604,1989,70,21423
1/2/2014,7,10672,10288,2228,78,23266
1/2/2014,8,11432,10703,2385,81,24601
1/2/2014,9,11732,11191,2503,74,25501
1/2/2014,10,11767,11479,2617,66,25930
1/2/2014,11,11735,11684,2667,57,26142
1/2/2014,12,11590,11714,2661,50,26014
1/2/2014,13,11439,11773,2655,44,25911
1/2/2014,14,11352,11708,2620,41,25721
1/2/2014,15,11319,11707,2544,39,25609
1/2/2014,16,11365,11702,2530,39,25636
1/2/2014,17,11737,11946,2595,44,26322
1/2/2014,18,13017,13088,2946,52,29103
1/2/2014,19,13239,13125,2963,54,29382
1/2/2014,20,12962,12844,2886,55,28747
1/2/2014,21,12579,12483,2777,56,27894
1/2/2014,22,11979,11929,2591,55,26554
1/2/2014,23,11207,11019,2340,54,24621
