Dates,Date,HE,SDGE
1/1/2014 0:00,1/1/2014,1,2096
1/1/2014 1:00,1/1/2014,2,1986
1/1/2014 2:00,1/1/2014,3,1936
1/1/2014 3:00,1/1/2014,4,1896
1/1/2014 4:00,1/1/2014,5,1899
1/1/2014 5:00,1/1/2014,6,1922
1/1/2014 6:00,1/1/2014,7,2011
1/1/2014 7:00,1/1/2014,8,2055
1/1/2014 8:00,1/1/2014,9,2141
1/1/2014 9:00,1/1/2014,10,2250
1/1/2014 10:00,1/1/2014,11,2304
1/1/2014 11:00,1/1/2014,12,2301
1/1/2014 12:00,1/1/2014,13,2294
1/1/2014 13:00,1/1/2014,14,2262
1/1/2014 14:00,1/1/2014,15,2199
1/1/2014 15:00,1/1/2014,16,2210
1/1/2014 16:00,1/1/2014,17,2326
1/1/2014 17:00,1/1/2014,18,2724
1/1/2014 18:00,1/1/2014,19,2773
1/1/2014 19:00,1/1/2014,20,2716
1/1/2014 20:00,1/1/2014,21,2627
1/1/2014 21:00,1/1/2014,22,2471
1/1/2014 22:00,1/1/2014,23,2255
1/1/2014 23:00,1/1/2014,24,2041
1/2/2014 0:00,1/2/2014,1,1904
1/2/2014 1:00,1/2/2014,2,1855
1/2/2014 2:00,1/2/2014,3,1815
1/2/2014 3:00,1/2/2014,4,1809
1/2/2014 4:00,1/2/2014,5,1832
1/2/2014 5:00,1/2/2014,6,1989
1/2/2014 6:00,1/2/2014,7,2228
1/2/2014 7:00,1/2/2014,8,2385
1/2/2014 8:00,1/2/2014,9,2503
1/2/2014 9:00,1/2/2014,10,2617
1/2/2014 10:00,1/2/2014,11,2667
1/2/2014 11:00,1/2/2014,12,2661
1/2/2014 12:00,1/2/2014,13,2655
1/2/2014 13:00,1/2/2014,14,2620
1/2/2014 14:00,1/2/2014,15,2544
1/2/2014 15:00,1/2/2014,16,2530
1/2/2014 16:00,1/2/2014,17,2595
1/2/2014 17:00,1/2/2014,18,2946
1/2/2014 18:00,1/2/2014,19,2963
1/2/2014 19:00,1/2/2014,20,2886
1/2/2014 20:00,1/2/2014,21,2777
1/2/2014 21:00,1/2/2014,22,2591
1/2/2014 22:00,1/2/2014,23,2340
1/2/2014 23:00,1/2/2014,24,2097
1/3/2014 0:00,1/3/2014,1,1934
1/3/2014 1:00,1/3/2014,2,1879
1/3/2014 2:00,1/3/2014,3,1829
1/3/2014 3:00,1/3/2014,4,1819
1/3/2014 4:00,1/3/2014,5,1878
1/3/2014 5:00,1/3/2014,6,1993
1/3/2014 6:00,1/3/2014,7,2225
1/3/2014 7:00,1/3/2014,8,2385
1/3/2014 8:00,1/3/2014,9,2504
1/3/2014 9:00,1/3/2014,10,2605
1/3/2014 10:00,1/3/2014,11,2652
1/3/2014 11:00,1/3/2014,12,2646
1/3/2014 12:00,1/3/2014,13,2621
1/3/2014 13:00,1/3/2014,14,2595
1/3/2014 14:00,1/3/2014,15,2520
1/3/2014 15:00,1/3/2014,16,2485
1/3/2014 16:00,1/3/2014,17,2567
1/3/2014 17:00,1/3/2014,18,2906
1/3/2014 18:00,1/3/2014,19,2908
1/3/2014 19:00,1/3/2014,20,2818
1/3/2014 20:00,1/3/2014,21,2714
1/3/2014 21:00,1/3/2014,22,2555
1/3/2014 22:00,1/3/2014,23,2332
1/3/2014 23:00,1/3/2014,24,2096
1/4/2014 0:00,1/4/2014,1,1929
1/4/2014 1:00,1/4/2014,2,1838
1/4/2014 2:00,1/4/2014,3,1763
1/4/2014 3:00,1/4/2014,4,1766
1/4/2014 4:00,1/4/2014,5,1796
1/4/2014 5:00,1/4/2014,6,1831
1/4/2014 6:00,1/4/2014,7,1946
1/4/2014 7:00,1/4/2014,8,2025
1/4/2014 8:00,1/4/2014,9,2145
1/4/2014 9:00,1/4/2014,10,2206
1/4/2014 10:00,1/4/2014,11,2216
1/4/2014 11:00,1/4/2014,12,2209
1/4/2014 12:00,1/4/2014,13,2196
1/4/2014 13:00,1/4/2014,14,2173
1/4/2014 14:00,1/4/2014,15,2171
1/4/2014 15:00,1/4/2014,16,2239
1/4/2014 16:00,1/4/2014,17,2380
1/4/2014 17:00,1/4/2014,18,2742
1/4/2014 18:00,1/4/2014,19,2778
1/4/2014 19:00,1/4/2014,20,2716
1/4/2014 20:00,1/4/2014,21,2632
1/4/2014 21:00,1/4/2014,22,2480
1/4/2014 22:00,1/4/2014,23,2293
1/4/2014 23:00,1/4/2014,24,2080
1/5/2014 0:00,1/5/2014,1,1920
1/5/2014 1:00,1/5/2014,2,1828
1/5/2014 2:00,1/5/2014,3,1803
1/5/2014 3:00,1/5/2014,4,1781
1/5/2014 4:00,1/5/2014,5,1756
1/5/2014 5:00,1/5/2014,6,1822
1/5/2014 6:00,1/5/2014,7,1928
1/5/2014 7:00,1/5/2014,8,1988
1/5/2014 8:00,1/5/2014,9,2067
1/5/2014 9:00,1/5/2014,10,2096
1/5/2014 10:00,1/5/2014,11,2122
1/5/2014 11:00,1/5/2014,12,2146
1/5/2014 12:00,1/5/2014,13,2176
