Dates,Day Of Week,Load,Temp,Dew Point,Humidity,Cloud Cover
1/1/2014 2:00,4,1936,39,31,73,30
1/1/2014 17:00,4,2724,61,45,56,30
1/2/2014 0:00,5,1904,44,40,85,0
1/2/2014 21:00,5,2591,51,33,50,30
1/3/2014 11:00,6,2646,71,32,24,70
1/3/2014 23:00,6,2096,53,44,72,100
1/4/2014 2:00,7,1763,52,44,75,100
1/4/2014 17:00,7,2742,58,51,78,70
1/5/2014 18:00,1,2782,59,40,49,30
1/5/2014 21:00,1,2415,51,24,35,0
1/6/2014 11:00,2,2537,73,-1,5,0
1/6/2014 19:00,2,2846,51,18,27,30
1/6/2014 22:00,2,2316,52,20,28,0
1/7/2014 17:00,3,2883,60,46,60,30
1/8/2014 12:00,4,2490,64,44,48,30
1/8/2014 18:00,4,2974,52,48,86,30
1/8/2014 21:00,4,2568,51,48,89,70
1/9/2014 9:00,5,2475,56,47,72,70
1/9/2014 11:00,5,2521,62,46,56,30
1/9/2014 15:00,5,2460,60,47,62,70
1/9/2014 19:00,5,2880,48,44,86,30
1/9/2014 22:00,5,2315,45,42,90,30
1/10/2014 17:00,6,2824,61,44,54,30
1/11/2014 12:00,7,2240,73,36,26,30
1/11/2014 18:00,7,2746,54,45,72,30
1/12/2014 5:00,1,1777,49,47,93,100
1/12/2014 9:00,1,2017,53,45,74,30
1/12/2014 15:00,1,2104,62,46,56,30
1/12/2014 16:00,1,2256,62,48,60,30
1/12/2014 19:00,1,2725,52,48,86,30
1/12/2014 20:00,1,2600,51,47,86,30
1/12/2014 22:00,1,2196,50,46,86,30
1/13/2014 13:00,2,2578,79,8,6,0
1/1/2014 12:00,4,2294,65,39,39,0
1/2/2014 5:00,5,1989,42,32,68,0
1/2/2014 6:00,5,2228,48,29,48,30
1/2/2014 7:00,5,2385,49,26,41,30
1/2/2014 9:00,5,2617,72,24,17,30
1/2/2014 10:00,5,2667,71,30,22,30
1/2/2014 15:00,5,2530,72,33,24,30
1/2/2014 16:00,5,2595,69,33,26,30
1/2/2014 20:00,5,2777,51,34,52,30
1/3/2014 3:00,6,1819,45,29,54,30
1/3/2014 13:00,6,2595,73,39,29,70
1/3/2014 14:00,6,2520,70,38,31,70
1/5/2014 4:00,1,1756,44,40,85,30
1/5/2014 5:00,1,1822,44,39,83,70
1/5/2014 6:00,1,1928,46,40,79,30
1/5/2014 7:00,1,1988,45,38,77,30
1/5/2014 10:00,1,2122,72,26,18,30
1/5/2014 16:00,1,2355,67,41,39,30
1/5/2014 20:00,1,2593,54,31,42,0
1/6/2014 3:00,2,1796,49,10,21,0
1/6/2014 8:00,2,2505,56,10,16,0
1/6/2014 13:00,2,2524,74,1,5,30
1/6/2014 14:00,2,2519,74,0,5,30
1/7/2014 1:00,3,1851,46,14,27,0
1/8/2014 4:00,4,1839,49,47,93,100
1/8/2014 6:00,4,2338,41,38,89,30
1/8/2014 7:00,4,2462,39,35,86,30
1/8/2014 10:00,4,2502,57,44,62,70
1/9/2014 0:00,5,1910,55,49,80,100
1/9/2014 3:00,5,1754,54,48,80,100
1/9/2014 8:00,5,2472,54,47,77,70
1/9/2014 13:00,5,2457,62,47,58,70
1/9/2014 14:00,5,2436,61,47,60,30
1/1/2014 5:00,4,1922,41,31,67,30
1/1/2014 6:00,4,2011,41,30,65,30
1/1/2014 18:00,4,2773,53,43,69,30
1/1/2014 23:00,4,2041,44,39,83,30
1/2/2014 12:00,5,2655,74,30,20,30
1/2/2014 13:00,5,2620,76,25,15,30
1/2/2014 14:00,5,2544,76,21,13,30
1/3/2014 8:00,6,2504,55,29,37,30
1/3/2014 17:00,6,2906,59,43,56,70
1/3/2014 19:00,6,2818,50,45,83,70
1/3/2014 20:00,6,2714,50,42,74,70
1/4/2014 6:00,7,1946,50,38,63,70
1/4/2014 18:00,7,2778,52,48,86,30
1/4/2014 23:00,7,2080,47,44,90,70
1/5/2014 9:00,1,2096,65,35,33,30
1/5/2014 12:00,1,2176,75,28,18,30
1/5/2014 13:00,1,2174,74,25,16,30
1/5/2014 14:00,1,2186,74,30,20,30
1/6/2014 17:00,2,2896,65,21,19,30
1/6/2014 20:00,2,2776,48,15,27,0
1/7/2014 3:00,3,1841,47,12,24,0
1/7/2014 18:00,3,2932,54,46,75,70
1/7/2014 23:00,3,2063,55,51,87,70
1/8/2014 9:00,4,2503,53,47,80,30
1/8/2014 14:00,4,2481,64,49,58,30
1/9/2014 4:00,5,1802,55,48,77,100
1/9/2014 20:00,5,2765,46,41,83,30
1/10/2014 3:00,6,1834,45,42,90,30
1/10/2014 18:00,6,2858,57,45,64,30
1/11/2014 9:00,7,2237,60,38,44,30
1/11/2014 10:00,7,2250,64,40,41,30
1/11/2014 21:00,7,2433,47,42,83,30
1/12/2014 4:00,1,1714,51,49,92,70
1/14/2014 12:00,3,2620,84,8,5,0
1/14/2014 18:00,3,3007,72,8,8,0
1/15/2014 5:00,4,1998,52,10,18,0
1/15/2014 6:00,4,2298,51,11,20,0
1/15/2014 7:00,4,2410,49,12,22,0
1/15/2014 9:00,4,2447,75,9,8,0
1/15/2014 10:00,4,2518,79,5,6,0
1/15/2014 15:00,4,2705,82,11,7,0
1/15/2014 16:00,4,2713,76,16,10,0
1/15/2014 19:00,4,2869,57,20,24,0
1/15/2014 20:00,4,2733,55,13,19,0
1/15/2014 22:00,4,2270,52,12,20,0
1/16/2014 13:00,5,2676,84,5,5,0
1/16/2014 14:00,5,2687,84,7,5,0
1/17/2014 12:00,6,2578,82,0,4,30
1/18/2014 5:00,7,1831,53,8,16,30
1/18/2014 6:00,7,1962,48,8,19,30
1/18/2014 7:00,7,2043,48,8,19,30
1/18/2014 10:00,7,2224,74,1,5,30
1/18/2014 15:00,7,2279,75,5,6,70
1/18/2014 16:00,7,2346,73,16,11,70
1/18/2014 20:00,7,2525,51,21,31,30
1/19/2014 3:00,1,1739,51,11,20,30
1/19/2014 13:00,1,2181,79,9,7,30
1/19/2014 14:00,1,2170,76,14,9,70
1/21/2014 4:00,3,1793,49,21,33,30
1/21/2014 6:00,3,2279,54,15,21,30
1/21/2014 7:00,3,2426,56,15,20,70
1/21/2014 10:00,3,2540,74,13,9,0
1/21/2014 16:00,3,2590,71,37,29,70
1/21/2014 20:00,3,2683,61,36,39,100
1/22/2014 3:00,4,1688,53,34,48,70
1/22/2014 8:00,4,2337,58,28,32,30
1/1/2014 4:00,4,1899,41,32,70,30
1/1/2014 7:00,4,2055,39,27,62,30
1/1/2014 16:00,4,2326,67,45,45,30
1/1/2014 20:00,4,2627,48,40,74,30
1/2/2014 3:00,5,1809,41,34,76,30
1/2/2014 8:00,5,2503,62,26,25,30
1/2/2014 18:00,5,2963,54,35,49,30
1/3/2014 5:00,6,1993,43,28,56,0
1/3/2014 6:00,6,2225,47,28,48,0
1/3/2014 9:00,6,2605,65,27,24,30
1/3/2014 10:00,6,2652,69,27,21,30
1/3/2014 22:00,6,2332,51,46,83,0
1/4/2014 4:00,7,1796,50,41,71,70
1/4/2014 7:00,7,2025,49,37,64,70
1/4/2014 13:00,7,2173,69,45,42,70
1/5/2014 3:00,1,1781,45,41,86,30
1/5/2014 8:00,1,2067,51,39,64,30
1/6/2014 5:00,2,2023,51,6,16,0
1/6/2014 6:00,2,2337,46,10,23,0
1/6/2014 9:00,2,2514,65,6,10,0
1/6/2014 10:00,2,2537,70,3,7,0
1/6/2014 23:00,2,2076,49,18,29,0
1/7/2014 4:00,3,1873,46,12,25,0
1/7/2014 13:00,3,2453,69,18,14,70
1/7/2014 14:00,3,2449,71,33,25,70
1/8/2014 3:00,4,1810,45,43,93,70
1/8/2014 8:00,4,2513,47,40,77,30
1/9/2014 5:00,5,1988,55,48,77,100
1/9/2014 6:00,5,2287,55,47,74,100
1/9/2014 10:00,5,2488,59,46,62,30
1/9/2014 23:00,5,2080,44,41,89,30
1/10/2014 4:00,6,1861,44,41,89,30
1/10/2014 13:00,6,2472,69,39,33,30
1/10/2014 1:00,6,1853,45,42,90,30
1/10/2014 23:00,6,2102,48,40,74,30
1/11/2014 2:00,7,1839,47,38,71,0
1/11/2014 4:00,7,1843,51,37,59,0
1/12/2014 0:00,1,1886,53,51,93,100
