Dates,Day Of Week,Temp,Dew Point,HE,Humidity,Cloud Cover,Load
1/1/2014 0:00,4,41,35,1,79,30,2096
1/1/2014 1:00,4,41,34,2,76,30,1986
1/1/2014 2:00,4,39,31,3,73,30,1936
1/1/2014 3:00,4,39,32,4,76,30,1896
1/1/2014 4:00,4,41,32,5,70,30,1899
1/1/2014 5:00,4,41,31,6,67,30,1922
1/1/2014 6:00,4,41,30,7,65,30,2011
1/1/2014 7:00,4,39,27,8,62,30,2055
1/1/2014 8:00,4,49,28,9,44,30,2141
1/1/2014 9:00,4,60,28,10,30,30,2250
1/1/2014 10:00,4,62,30,11,30,0,2304
1/1/2014 11:00,4,63,24,12,23,0,2301
1/1/2014 12:00,4,65,39,13,39,0,2294
1/1/2014 13:00,4,69,30,14,23,30,2262
1/1/2014 14:00,4,71,38,15,30,30,2199
1/1/2014 15:00,4,69,39,16,33,30,2210
1/1/2014 16:00,4,67,45,17,45,30,2326
1/1/2014 17:00,4,61,45,18,56,30,2724
1/1/2014 18:00,4,53,43,19,69,30,2773
1/1/2014 19:00,4,49,41,20,74,30,2716
1/1/2014 20:00,4,48,40,21,74,30,2627
1/1/2014 21:00,4,46,39,22,77,30,2471
1/1/2014 22:00,4,46,40,23,79,30,2255
1/1/2014 23:00,4,44,39,24,83,30,2041
1/2/2014 0:00,5,44,40,1,85,0,1904
1/2/2014 1:00,5,43,38,2,82,0,1855
1/2/2014 2:00,5,41,36,3,82,0,1815
1/2/2014 3:00,5,41,34,4,76,30,1809
1/2/2014 4:00,5,41,31,5,67,30,1832
1/2/2014 5:00,5,42,32,6,68,0,1989
1/2/2014 6:00,5,48,29,7,48,30,2228
1/2/2014 7:00,5,49,26,8,41,30,2385
1/2/2014 8:00,5,62,26,9,25,30,2503
1/2/2014 9:00,5,72,24,10,17,30,2617
1/2/2014 10:00,5,71,30,11,22,30,2667
1/2/2014 11:00,5,73,29,12,19,30,2661
1/2/2014 12:00,5,74,30,13,20,30,2655
1/2/2014 13:00,5,76,25,14,15,30,2620
1/2/2014 14:00,5,76,21,15,13,30,2544
1/2/2014 15:00,5,72,33,16,24,30,2530
1/2/2014 16:00,5,69,33,17,26,30,2595
1/2/2014 17:00,5,63,34,18,34,30,2946
1/2/2014 18:00,5,54,35,19,49,30,2963
1/2/2014 19:00,5,53,34,20,48,30,2886
1/2/2014 20:00,5,51,34,21,52,30,2777
1/2/2014 21:00,5,51,33,22,50,30,2591
1/2/2014 22:00,5,50,33,23,52,30,2340
1/2/2014 23:00,5,50,46,24,86,30,2097
1/3/2014 0:00,6,42,38,1,85,30,1934
1/3/2014 1:00,6,48,33,2,56,30,1879
1/3/2014 2:00,6,49,32,3,52,30,1829
1/3/2014 3:00,6,45,29,4,54,30,1819
1/3/2014 4:00,6,44,29,5,55,30,1878
1/3/2014 5:00,6,43,28,6,56,0,1993
1/3/2014 6:00,6,47,28,7,48,0,2225
1/3/2014 7:00,6,46,28,8,50,30,2385
1/3/2014 8:00,6,55,29,9,37,30,2504
1/3/2014 9:00,6,65,27,10,24,30,2605
1/3/2014 10:00,6,69,27,11,21,30,2652
1/3/2014 11:00,6,71,32,12,24,70,2646
1/3/2014 12:00,6,72,33,13,24,70,2621
1/3/2014 13:00,6,73,39,14,29,70,2595
1/3/2014 14:00,6,70,38,15,31,70,2520
1/3/2014 15:00,6,71,37,16,29,70,2485
1/3/2014 16:00,6,66,44,17,45,70,2567
1/3/2014 17:00,6,59,43,18,56,70,2906
1/3/2014 18:00,6,53,46,19,77,70,2908
1/3/2014 19:00,6,50,45,20,83,70,2818
1/3/2014 20:00,6,50,42,21,74,70,2714
1/3/2014 21:00,6,51,46,22,83,70,2555
1/3/2014 22:00,6,51,46,23,83,0,2332
1/3/2014 23:00,6,53,44,24,72,100,2096
1/4/2014 0:00,7,53,44,1,72,100,1929
1/4/2014 1:00,7,52,44,2,75,100,1838
1/4/2014 2:00,7,52,44,3,75,100,1763
1/4/2014 3:00,7,51,41,4,69,100,1766
1/4/2014 4:00,7,50,41,5,71,70,1796
1/4/2014 5:00,7,50,40,6,68,30,1831
1/4/2014 6:00,7,50,38,7,63,70,1946
1/4/2014 7:00,7,49,37,8,64,70,2025
1/4/2014 8:00,7,52,39,9,61,70,2145
